精算申請ID,関連決裁番号,支出日,事前承認日,精算決裁日,金額税込,人数,社外人数,インボイス,店舗,申請科目,社内役職,社外役職,事後理由
EXP-2026-0900,ADV-2026-0900,2026-06-01,2026-06-01,2026-06-04,22000,8,0,登録,社内懇親会 宴会場,福利厚生費,担当者,,
EXP-2026-0901,ADV-2026-0901,2026-06-02,2026-06-01,2026-06-05,20371,3,2,登録,ファミレス ガスト,会議費,主任,担当者,
EXP-2026-0902,ADV-2026-0902,2026-06-03,2026-06-01,2026-06-06,27922,4,3,登録,喫茶室ルノアール,会議費,係長,担当者,
EXP-2026-0903,ADV-2026-0903,2026-06-04,2026-06-02,2026-06-07,35854,5,4,登録,ホテルラウンジ,会議費,課長,担当者,
EXP-2026-0904,ADV-2026-0904,2026-06-05,2026-06-03,2026-06-08,44167,6,5,登録,定食屋 大戸屋,会議費,部長,担当者,
EXP-2026-0905,ADV-2026-0905,2026-06-06,2026-06-04,2026-06-09,52861,7,6,登録,中華料理 福しん,会議費,担当者,担当者,
EXP-2026-0906,ADV-2026-0906,2026-06-07,2026-06-05,2026-06-10,15484,2,1,登録,ドトール,会議費,主任,担当者,
EXP-2026-0907,ADV-2026-0907,2026-06-08,2026-06-06,2026-06-11,23796,3,2,登録,サイゼリヤ,会議費,係長,担当者,
EXP-2026-0908,ADV-2026-0908,2026-06-09,2026-06-07,2026-06-12,32490,4,3,登録,そば処 やぶ,会議費,課長,担当者,
EXP-2026-0909,ADV-2026-0909,2026-06-10,2026-06-08,2026-06-13,41564,5,2,登録,焼肉ライク,会議費,部長,担当者,
EXP-2026-0910,ADV-2026-0910,2026-06-11,2026-06-09,2026-06-14,51018,6,1,登録,ベローチェ,会議費,担当者,担当者,
EXP-2026-0911,ADV-2026-0911,2026-06-12,2026-06-10,2026-06-15,60853,7,6,登録,居酒屋 鳥貴族,会議費,主任,担当者,
EXP-2026-0912,ADV-2026-0912,2026-06-13,2026-06-11,2026-06-16,17767,2,1,登録,タリーズ会議室,会議費,係長,担当者,
EXP-2026-0913,ADV-2026-0913,2026-06-14,2026-06-12,2026-06-17,27222,3,2,登録,びっくりドンキー,会議費,課長,担当者,
EXP-2026-0914,ADV-2026-0914,2026-06-15,2026-06-13,2026-06-18,37057,4,3,登録,ロイヤルホスト,会議費,部長,担当者,
EXP-2026-0915,ADV-2026-0915,2026-06-16,2026-06-14,2026-06-19,47273,5,4,登録,ココス,会議費,担当者,担当者,
EXP-2026-0916,ADV-2026-0916,2026-06-17,2026-06-15,2026-06-20,57869,6,2,登録,大衆食堂 まる,会議費,主任,担当者,
EXP-2026-0917,ADV-2026-0917,2026-06-18,2026-06-16,2026-06-21,68846,7,6,登録,ラーメン日高,会議費,係長,担当者,
EXP-2026-0918,ADV-2026-0918,2026-06-19,2026-06-17,2026-06-22,20051,2,1,登録,カレーハウス,会議費,課長,担当者,
EXP-2026-0919,ADV-2026-0919,2026-06-20,2026-06-18,2026-06-23,30250,11,0,登録,社内懇親会 宴会場,福利厚生費,部長,,
EXP-2026-0920,ADV-2026-0920,2026-06-21,2026-06-19,2026-06-24,26664,4,3,登録,カフェ会議室,会議費,担当者,担当者,
EXP-2026-1091,ADV-2026-1091,2026-06-10,2026-06-05,2026-06-13,88000,4,2,登録,レイクウッドカントリークラブ,交際費,部長,部長,
EXP-2026-1092,,2026-06-12,,2026-06-20,72000,3,2,登録,富士桜ゴルフ倶楽部,旅費交通費,課長,担当者,
EXP-2026-1093,ADV-2026-1093,2026-06-09,2026-06-04,2026-06-12,45000,2,1,登録,出張旅費 取引先訪問,旅費交通費,課長,担当者,
EXP-2026-1094,ADV-2026-1094,2026-06-08,2026-06-03,2026-06-11,36000,1,0,登録,出張旅費 新幹線,旅費交通費,担当者,,
EXP-2026-1095,ADV-2026-1095,2026-06-07,2026-06-02,2026-06-10,12000,1,1,登録,百貨店 手土産(取引先),交際費,部長,部長,
EXP-2026-1096,ADV-2026-1096,2026-06-06,2026-06-01,2026-06-09,9800,1,1,登録,菓子折 手土産(取引先),会議費,課長,担当者,
EXP-2026-0079,ADV-2026-0079,2026-06-10,2026-06-12,2026-06-14,34000,4,2,登録,ガスト,会議費,課長,担当者,急な顧客からの呼び出しで事前申請の時間的猶予がなかった
EXP-2026-0921,ADV-2026-0921,2026-06-22,2026-06-20,2026-06-25,34282,5,2,登録,ファミレス ガスト,会議費,主任,担当者,
EXP-2026-0922,ADV-2026-0922,2026-06-23,2026-06-21,2026-06-26,42280,6,3,登録,喫茶室ルノアール,会議費,係長,担当者,
EXP-2026-0923,ADV-2026-0923,2026-06-24,2026-06-22,2026-06-27,50658,7,6,登録,ホテルラウンジ,会議費,課長,担当者,
EXP-2026-0924,ADV-2026-0924,2026-06-01,2026-06-01,2026-06-04,14854,2,1,登録,定食屋 大戸屋,会議費,部長,担当者,
EXP-2026-0925,ADV-2026-0925,2026-06-02,2026-06-01,2026-06-05,22853,3,2,登録,中華料理 福しん,会議費,担当者,担当者,
EXP-2026-0926,ADV-2026-0926,2026-06-03,2026-06-01,2026-06-06,31231,4,3,登録,ドトール,会議費,主任,担当者,
EXP-2026-0927,ADV-2026-0927,2026-06-04,2026-06-02,2026-06-07,39990,5,4,登録,サイゼリヤ,会議費,係長,担当者,
EXP-2026-0928,ADV-2026-0928,2026-06-05,2026-06-03,2026-06-08,49130,6,4,登録,そば処 やぶ,会議費,課長,担当者,
EXP-2026-0929,ADV-2026-0929,2026-06-06,2026-06-04,2026-06-09,58651,7,6,登録,焼肉ライク,会議費,部長,担当者,
EXP-2026-0930,ADV-2026-0930,2026-06-07,2026-06-05,2026-06-10,17138,2,1,登録,ベローチェ,会議費,担当者,担当者,
EXP-2026-0931,ADV-2026-0931,2026-06-08,2026-06-06,2026-06-11,26278,3,2,登録,居酒屋 鳥貴族,会議費,主任,担当者,
EXP-2026-0932,ADV-2026-0932,2026-06-09,2026-06-07,2026-06-12,35798,4,3,登録,タリーズ会議室,会議費,係長,担当者,
EXP-2026-0933,ADV-2026-0933,2026-06-10,2026-06-08,2026-06-13,45700,5,2,登録,びっくりドンキー,会議費,課長,担当者,
EXP-2026-0934,ADV-2026-0934,2026-06-11,2026-06-09,2026-06-14,55981,6,5,登録,ロイヤルホスト,会議費,部長,担当者,
EXP-2026-0935,ADV-2026-0935,2026-06-12,2026-06-10,2026-06-15,66644,7,6,登録,ココス,会議費,担当者,担当者,
EXP-2026-0936,ADV-2026-0936,2026-06-13,2026-06-11,2026-06-16,19422,2,1,登録,大衆食堂 まる,会議費,主任,担当者,
EXP-2026-0937,ADV-2026-0937,2026-06-14,2026-06-12,2026-06-17,29703,3,2,登録,ラーメン日高,会議費,係長,担当者,
EXP-2026-0938,ADV-2026-0938,2026-06-15,2026-06-13,2026-06-18,38500,14,0,登録,社内懇親会 宴会場,福利厚生費,課長,,
EXP-2026-0939,ADV-2026-0939,2026-06-16,2026-06-14,2026-06-19,51409,5,4,登録,うどん さぬき,会議費,部長,担当者,
EXP-2026-0940,ADV-2026-0940,2026-06-17,2026-06-15,2026-06-20,40392,6,1,登録,カフェ会議室,会議費,担当者,担当者,
EXP-2026-0941,ADV-2026-0941,2026-06-18,2026-06-16,2026-06-21,48456,7,6,登録,ファミレス ガスト,会議費,主任,担当者,
EXP-2026-0045,ADV-2026-0045,2026-06-12,2026-06-10,2026-06-15,44000,4,2,未登録,和食さと,会議費,課長,担当者,
EXP-2026-0942,ADV-2026-0942,2026-06-19,2026-06-17,2026-06-22,14225,2,1,登録,喫茶室ルノアール,会議費,係長,担当者,
EXP-2026-0943,ADV-2026-0943,2026-06-20,2026-06-18,2026-06-23,21909,3,2,登録,ホテルラウンジ,会議費,課長,担当者,
EXP-2026-0944,ADV-2026-0944,2026-06-21,2026-06-19,2026-06-24,29973,4,3,登録,定食屋 大戸屋,会議費,部長,担当者,
EXP-2026-0945,ADV-2026-0945,2026-06-22,2026-06-20,2026-06-25,38418,5,2,登録,中華料理 福しん,会議費,担当者,担当者,
EXP-2026-0946,ADV-2026-0946,2026-06-23,2026-06-21,2026-06-26,47243,6,2,登録,ドトール,会議費,主任,担当者,
EXP-2026-0947,ADV-2026-0947,2026-06-24,2026-06-22,2026-06-27,56449,7,6,登録,サイゼリヤ,会議費,係長,担当者,
EXP-2026-0948,ADV-2026-0948,2026-06-01,2026-06-01,2026-06-04,16509,2,1,登録,そば処 やぶ,会議費,課長,担当者,
EXP-2026-0949,ADV-2026-0949,2026-06-02,2026-06-01,2026-06-05,25334,3,2,登録,焼肉ライク,会議費,部長,担当者,
EXP-2026-0950,ADV-2026-0950,2026-06-03,2026-06-01,2026-06-06,34540,4,3,登録,ベローチェ,会議費,担当者,担当者,
EXP-2026-0951,ADV-2026-0951,2026-06-04,2026-06-02,2026-06-07,44126,5,4,登録,居酒屋 鳥貴族,会議費,主任,担当者,
EXP-2026-0952,ADV-2026-0952,2026-06-05,2026-06-03,2026-06-08,54094,6,3,登録,タリーズ会議室,会議費,係長,担当者,
EXP-2026-0953,ADV-2026-0953,2026-06-06,2026-06-04,2026-06-09,64441,7,6,登録,びっくりドンキー,会議費,課長,担当者,
EXP-2026-0954,ADV-2026-0954,2026-06-07,2026-06-05,2026-06-10,18792,2,1,登録,ロイヤルホスト,会議費,部長,担当者,
EXP-2026-0955,ADV-2026-0955,2026-06-08,2026-06-06,2026-06-11,28760,3,2,登録,ココス,会議費,担当者,担当者,
EXP-2026-0956,ADV-2026-0956,2026-06-09,2026-06-07,2026-06-12,39107,4,3,登録,大衆食堂 まる,会議費,主任,担当者,
EXP-2026-0957,ADV-2026-0957,2026-06-10,2026-06-08,2026-06-13,24750,9,0,登録,社内懇親会 宴会場,福利厚生費,係長,,
EXP-2026-0958,ADV-2026-0958,2026-06-11,2026-06-09,2026-06-14,60944,6,4,登録,カレーハウス,会議費,課長,担当者,
EXP-2026-0959,ADV-2026-0959,2026-06-12,2026-06-10,2026-06-15,46254,7,6,登録,うどん さぬき,会議費,部長,担当者,
EXP-2026-0960,ADV-2026-0960,2026-06-13,2026-06-11,2026-06-16,13596,2,1,登録,カフェ会議室,会議費,担当者,担当者,
EXP-2026-0961,ADV-2026-0961,2026-06-14,2026-06-12,2026-06-17,20965,3,2,登録,ファミレス ガスト,会議費,主任,担当者,
EXP-2026-0962,ADV-2026-0962,2026-06-15,2026-06-13,2026-06-18,28714,4,3,登録,喫茶室ルノアール,会議費,係長,担当者,
EXP-2026-0080,ADV-2026-0080,2026-06-10,2026-06-12,2026-06-14,34000,4,2,登録,サイゼリヤ,会議費,課長,担当者,
EXP-2026-0963,ADV-2026-0963,2026-06-16,2026-06-14,2026-06-19,36844,5,4,登録,ホテルラウンジ,会議費,課長,担当者,
EXP-2026-0964,ADV-2026-0964,2026-06-17,2026-06-15,2026-06-20,45355,6,5,登録,定食屋 大戸屋,会議費,部長,担当者,
EXP-2026-0965,ADV-2026-0965,2026-06-18,2026-06-16,2026-06-21,54247,7,6,登録,中華料理 福しん,会議費,担当者,担当者,
EXP-2026-0966,ADV-2026-0966,2026-06-19,2026-06-17,2026-06-22,15880,2,1,登録,ドトール,会議費,主任,担当者,
EXP-2026-0967,ADV-2026-0967,2026-06-20,2026-06-18,2026-06-23,24390,3,2,登録,サイゼリヤ,会議費,係長,担当者,
EXP-2026-0968,ADV-2026-0968,2026-06-21,2026-06-19,2026-06-24,33282,4,3,登録,そば処 やぶ,会議費,課長,担当者,
EXP-2026-0969,ADV-2026-0969,2026-06-22,2026-06-20,2026-06-25,42554,5,2,登録,焼肉ライク,会議費,部長,担当者,
EXP-2026-0970,ADV-2026-0970,2026-06-23,2026-06-21,2026-06-26,52206,6,1,登録,ベローチェ,会議費,担当者,担当者,
EXP-2026-0971,ADV-2026-0971,2026-06-24,2026-06-22,2026-06-27,62239,7,6,登録,居酒屋 鳥貴族,会議費,主任,担当者,
EXP-2026-0972,ADV-2026-0972,2026-06-01,2026-06-01,2026-06-04,18163,2,1,登録,タリーズ会議室,会議費,係長,担当者,
EXP-2026-0973,ADV-2026-0973,2026-06-02,2026-06-01,2026-06-05,27816,3,2,登録,びっくりドンキー,会議費,課長,担当者,
EXP-2026-0974,ADV-2026-0974,2026-06-03,2026-06-01,2026-06-06,37849,4,3,登録,ロイヤルホスト,会議費,部長,担当者,
EXP-2026-0975,ADV-2026-0975,2026-06-04,2026-06-02,2026-06-07,48263,5,4,登録,ココス,会議費,担当者,担当者,
EXP-2026-0976,ADV-2026-0976,2026-06-05,2026-06-03,2026-06-08,33000,12,0,登録,社内懇親会 宴会場,福利厚生費,主任,,
EXP-2026-0977,ADV-2026-0977,2026-06-06,2026-06-04,2026-06-09,70232,7,6,登録,ラーメン日高,会議費,係長,担当者,
EXP-2026-0978,ADV-2026-0978,2026-06-07,2026-06-05,2026-06-10,20447,2,1,登録,カレーハウス,会議費,課長,担当者,
EXP-2026-0979,ADV-2026-0979,2026-06-08,2026-06-06,2026-06-11,20021,3,2,登録,うどん さぬき,会議費,部長,担当者,
EXP-2026-0980,ADV-2026-0980,2026-06-09,2026-06-07,2026-06-12,27456,4,3,登録,カフェ会議室,会議費,担当者,担当者,
EXP-2026-0981,ADV-2026-0981,2026-06-10,2026-06-08,2026-06-13,35272,5,2,登録,ファミレス ガスト,会議費,主任,担当者,
EXP-2026-0982,ADV-2026-0982,2026-06-11,2026-06-09,2026-06-14,43468,6,3,登録,喫茶室ルノアール,会議費,係長,担当者,
EXP-2026-0983,ADV-2026-0983,2026-06-12,2026-06-10,2026-06-15,52044,7,6,登録,ホテルラウンジ,会議費,課長,担当者,
EXP-2026-0250,ADV-2026-0250,2026-06-15,2026-06-12,2026-06-18,48000,6,0,登録,社員食堂ケータリング,会議費,部長,,
EXP-2026-0984,ADV-2026-0984,2026-06-13,2026-06-11,2026-06-16,15250,2,1,登録,定食屋 大戸屋,会議費,部長,担当者,
EXP-2026-0985,ADV-2026-0985,2026-06-14,2026-06-12,2026-06-17,23447,3,2,登録,中華料理 福しん,会議費,担当者,担当者,
EXP-2026-0986,ADV-2026-0986,2026-06-15,2026-06-13,2026-06-18,32023,4,3,登録,ドトール,会議費,主任,担当者,
EXP-2026-0987,ADV-2026-0987,2026-06-16,2026-06-14,2026-06-19,40980,5,4,登録,サイゼリヤ,会議費,係長,担当者,
EXP-2026-0988,ADV-2026-0988,2026-06-17,2026-06-15,2026-06-20,50318,6,4,登録,そば処 やぶ,会議費,課長,担当者,
EXP-2026-0989,ADV-2026-0989,2026-06-18,2026-06-16,2026-06-21,60037,7,6,登録,焼肉ライク,会議費,部長,担当者,
EXP-2026-0990,ADV-2026-0990,2026-06-19,2026-06-17,2026-06-22,17534,2,1,登録,ベローチェ,会議費,担当者,担当者,
EXP-2026-0991,ADV-2026-0991,2026-06-20,2026-06-18,2026-06-23,26872,3,2,登録,居酒屋 鳥貴族,会議費,主任,担当者,
