精算申請ID,関連決裁番号,支出日,事前承認日,精算決裁日,金額税込,人数,社外人数,インボイス,店舗,申請科目,社内役職,社外役職,事後理由
EXP-2026-0992,ADV-2026-0992,2026-06-21,2026-06-19,2026-06-24,36590,4,3,登録,タリーズ会議室,会議費,係長,担当者,
EXP-2026-0993,ADV-2026-0993,2026-06-22,2026-06-20,2026-06-25,46690,5,2,登録,びっくりドンキー,会議費,課長,担当者,
EXP-2026-0994,ADV-2026-0994,2026-06-23,2026-06-21,2026-06-26,57169,6,5,登録,ロイヤルホスト,会議費,部長,担当者,
EXP-2026-0995,ADV-2026-0995,2026-06-24,2026-06-22,2026-06-27,41250,15,0,登録,社内懇親会 宴会場,福利厚生費,担当者,,
EXP-2026-0996,ADV-2026-0996,2026-06-01,2026-06-01,2026-06-04,19818,2,1,登録,大衆食堂 まる,会議費,主任,担当者,
EXP-2026-0997,ADV-2026-0997,2026-06-02,2026-06-01,2026-06-05,30297,3,2,登録,ラーメン日高,会議費,係長,担当者,
EXP-2026-0998,ADV-2026-0998,2026-06-03,2026-06-01,2026-06-06,41158,4,3,登録,カレーハウス,会議費,課長,担当者,
EXP-2026-0999,ADV-2026-0999,2026-06-04,2026-06-02,2026-06-07,33698,5,4,登録,うどん さぬき,会議費,部長,担当者,
EXP-2026-1000,ADV-2026-1000,2026-06-05,2026-06-03,2026-06-08,41580,6,1,登録,カフェ会議室,会議費,担当者,担当者,
EXP-2026-1001,ADV-2026-1001,2026-06-06,2026-06-04,2026-06-09,49842,7,6,登録,ファミレス ガスト,会議費,主任,担当者,
EXP-2026-1002,ADV-2026-1002,2026-06-07,2026-06-05,2026-06-10,14621,2,1,登録,喫茶室ルノアール,会議費,係長,担当者,
EXP-2026-1003,ADV-2026-1003,2026-06-08,2026-06-06,2026-06-11,22503,3,2,登録,ホテルラウンジ,会議費,課長,担当者,
EXP-2026-1004,ADV-2026-1004,2026-06-09,2026-06-07,2026-06-12,30765,4,3,登録,定食屋 大戸屋,会議費,部長,担当者,
EXP-2026-0320,ADV-2026-0320,2026-06-18,2026-06-16,2026-06-21,80000,8,2,登録,新年会 宴会場,福利厚生費,部長,担当者,
EXP-2026-1005,ADV-2026-1005,2026-06-10,2026-06-08,2026-06-13,39408,5,2,登録,中華料理 福しん,会議費,担当者,担当者,
EXP-2026-1006,ADV-2026-1006,2026-06-11,2026-06-09,2026-06-14,48431,6,2,登録,ドトール,会議費,主任,担当者,
EXP-2026-1007,ADV-2026-1007,2026-06-12,2026-06-10,2026-06-15,57835,7,6,登録,サイゼリヤ,会議費,係長,担当者,
EXP-2026-1008,ADV-2026-1008,2026-06-13,2026-06-11,2026-06-16,16905,2,1,登録,そば処 やぶ,会議費,課長,担当者,
EXP-2026-1009,ADV-2026-1009,2026-06-14,2026-06-12,2026-06-17,25928,3,2,登録,焼肉ライク,会議費,部長,担当者,
EXP-2026-1010,ADV-2026-1010,2026-06-15,2026-06-13,2026-06-18,35332,4,3,登録,ベローチェ,会議費,担当者,担当者,
EXP-2026-1011,ADV-2026-1011,2026-06-16,2026-06-14,2026-06-19,45117,5,4,登録,居酒屋 鳥貴族,会議費,主任,担当者,
EXP-2026-1012,ADV-2026-1012,2026-06-17,2026-06-15,2026-06-20,55282,6,3,登録,タリーズ会議室,会議費,係長,担当者,
EXP-2026-1013,ADV-2026-1013,2026-06-18,2026-06-16,2026-06-21,65827,7,6,登録,びっくりドンキー,会議費,課長,担当者,
EXP-2026-1014,ADV-2026-1014,2026-06-19,2026-06-17,2026-06-22,27500,10,0,登録,社内懇親会 宴会場,福利厚生費,部長,,
EXP-2026-1015,ADV-2026-1015,2026-06-20,2026-06-18,2026-06-23,29354,3,2,登録,ココス,会議費,担当者,担当者,
EXP-2026-1016,ADV-2026-1016,2026-06-21,2026-06-19,2026-06-24,39899,4,3,登録,大衆食堂 まる,会議費,主任,担当者,
EXP-2026-1017,ADV-2026-1017,2026-06-22,2026-06-20,2026-06-25,50826,5,2,登録,ラーメン日高,会議費,係長,担当者,
EXP-2026-1018,ADV-2026-1018,2026-06-23,2026-06-21,2026-06-26,39692,6,4,登録,カレーハウス,会議費,課長,担当者,
EXP-2026-1019,ADV-2026-1019,2026-06-24,2026-06-22,2026-06-27,47640,7,6,登録,うどん さぬき,会議費,部長,担当者,
EXP-2026-1020,ADV-2026-1020,2026-06-01,2026-06-01,2026-06-04,13992,2,1,登録,カフェ会議室,会議費,担当者,担当者,
EXP-2026-1021,ADV-2026-1021,2026-06-02,2026-06-01,2026-06-05,21559,3,2,登録,ファミレス ガスト,会議費,主任,担当者,
EXP-2026-1022,ADV-2026-1022,2026-06-03,2026-06-01,2026-06-06,29506,4,3,登録,喫茶室ルノアール,会議費,係長,担当者,
EXP-2026-1023,ADV-2026-1023,2026-06-04,2026-06-02,2026-06-07,37834,5,4,登録,ホテルラウンジ,会議費,課長,担当者,
EXP-2026-1024,ADV-2026-1024,2026-06-05,2026-06-03,2026-06-08,46543,6,5,登録,定食屋 大戸屋,会議費,部長,担当者,
EXP-2026-1025,ADV-2026-1025,2026-06-06,2026-06-04,2026-06-09,55633,7,6,登録,中華料理 福しん,会議費,担当者,担当者,
EXP-2026-0414,ADV-2026-0414,2026-06-01,2026-05-30,2026-06-20,35200,4,2,登録,ファミレス ジョナサン,会議費,課長,担当者,
EXP-2026-1026,ADV-2026-1026,2026-06-07,2026-06-05,2026-06-10,16276,2,1,登録,ドトール,会議費,主任,担当者,
EXP-2026-1027,ADV-2026-1027,2026-06-08,2026-06-06,2026-06-11,24984,3,2,登録,サイゼリヤ,会議費,係長,担当者,
EXP-2026-1028,ADV-2026-1028,2026-06-09,2026-06-07,2026-06-12,34074,4,3,登録,そば処 やぶ,会議費,課長,担当者,
EXP-2026-1029,ADV-2026-1029,2026-06-10,2026-06-08,2026-06-13,43544,5,2,登録,焼肉ライク,会議費,部長,担当者,
EXP-2026-1030,ADV-2026-1030,2026-06-11,2026-06-09,2026-06-14,53394,6,1,登録,ベローチェ,会議費,担当者,担当者,
EXP-2026-1031,ADV-2026-1031,2026-06-12,2026-06-10,2026-06-15,63625,7,6,登録,居酒屋 鳥貴族,会議費,主任,担当者,
EXP-2026-1032,ADV-2026-1032,2026-06-13,2026-06-11,2026-06-16,18559,2,1,登録,タリーズ会議室,会議費,係長,担当者,
EXP-2026-1033,ADV-2026-1033,2026-06-14,2026-06-12,2026-06-17,35750,13,0,登録,社内懇親会 宴会場,福利厚生費,課長,,
EXP-2026-1034,ADV-2026-1034,2026-06-15,2026-06-13,2026-06-18,38641,4,3,登録,ロイヤルホスト,会議費,部長,担当者,
EXP-2026-1035,ADV-2026-1035,2026-06-16,2026-06-14,2026-06-19,49253,5,4,登録,ココス,会議費,担当者,担当者,
EXP-2026-1036,ADV-2026-1036,2026-06-17,2026-06-15,2026-06-20,60245,6,2,登録,大衆食堂 まる,会議費,主任,担当者,
EXP-2026-1037,ADV-2026-1037,2026-06-18,2026-06-16,2026-06-21,71618,7,6,登録,ラーメン日高,会議費,係長,担当者,
EXP-2026-1038,ADV-2026-1038,2026-06-19,2026-06-17,2026-06-22,13363,2,1,登録,カレーハウス,会議費,課長,担当者,
EXP-2026-1039,ADV-2026-1039,2026-06-20,2026-06-18,2026-06-23,20615,3,2,登録,うどん さぬき,会議費,部長,担当者,
EXP-2026-1040,ADV-2026-1040,2026-06-21,2026-06-19,2026-06-24,28248,4,3,登録,カフェ会議室,会議費,担当者,担当者,
EXP-2026-1041,ADV-2026-1041,2026-06-22,2026-06-20,2026-06-25,36262,5,2,登録,ファミレス ガスト,会議費,主任,担当者,
EXP-2026-1042,ADV-2026-1042,2026-06-23,2026-06-21,2026-06-26,44656,6,3,登録,喫茶室ルノアール,会議費,係長,担当者,
EXP-2026-1043,ADV-2026-1043,2026-06-24,2026-06-22,2026-06-27,53430,7,6,登録,ホテルラウンジ,会議費,課長,担当者,
EXP-2026-1044,ADV-2026-1044,2026-06-01,2026-06-01,2026-06-04,15646,2,1,登録,定食屋 大戸屋,会議費,部長,担当者,
EXP-2026-1045,ADV-2026-1045,2026-06-02,2026-06-01,2026-06-05,24041,3,2,登録,中華料理 福しん,会議費,担当者,担当者,
EXP-2026-1046,ADV-2026-1046,2026-06-03,2026-06-01,2026-06-06,32815,4,3,登録,ドトール,会議費,主任,担当者,
EXP-2026-0411,,2026-06-10,,2026-06-25,39600,4,2,登録,銀座 久兵衛(会員制),会議費,役員,担当者,
EXP-2026-1047,ADV-2026-1047,2026-06-04,2026-06-02,2026-06-07,41970,5,4,登録,サイゼリヤ,会議費,係長,担当者,
EXP-2026-1048,ADV-2026-1048,2026-06-05,2026-06-03,2026-06-08,51506,6,4,登録,そば処 やぶ,会議費,課長,担当者,
EXP-2026-1049,ADV-2026-1049,2026-06-06,2026-06-04,2026-06-09,61423,7,6,登録,焼肉ライク,会議費,部長,担当者,
EXP-2026-1050,ADV-2026-1050,2026-06-07,2026-06-05,2026-06-10,17930,2,1,登録,ベローチェ,会議費,担当者,担当者,
EXP-2026-1051,ADV-2026-1051,2026-06-08,2026-06-06,2026-06-11,27466,3,2,登録,居酒屋 鳥貴族,会議費,主任,担当者,
EXP-2026-1052,ADV-2026-1052,2026-06-09,2026-06-07,2026-06-12,22000,8,0,登録,社内懇親会 宴会場,福利厚生費,係長,,
EXP-2026-1053,ADV-2026-1053,2026-06-10,2026-06-08,2026-06-13,47680,5,2,登録,びっくりドンキー,会議費,課長,担当者,
EXP-2026-1054,ADV-2026-1054,2026-06-11,2026-06-09,2026-06-14,58357,6,5,登録,ロイヤルホスト,会議費,部長,担当者,
EXP-2026-1055,ADV-2026-1055,2026-06-12,2026-06-10,2026-06-15,69416,7,6,登録,ココス,会議費,担当者,担当者,
EXP-2026-1056,ADV-2026-1056,2026-06-13,2026-06-11,2026-06-16,20214,2,1,登録,大衆食堂 まる,会議費,主任,担当者,
EXP-2026-1057,ADV-2026-1057,2026-06-14,2026-06-12,2026-06-17,30891,3,2,登録,ラーメン日高,会議費,係長,担当者,
EXP-2026-1058,ADV-2026-1058,2026-06-15,2026-06-13,2026-06-18,26990,4,3,登録,カレーハウス,会議費,課長,担当者,
EXP-2026-1059,ADV-2026-1059,2026-06-16,2026-06-14,2026-06-19,34688,5,4,登録,うどん さぬき,会議費,部長,担当者,
EXP-2026-1060,ADV-2026-1060,2026-06-17,2026-06-15,2026-06-20,42768,6,1,登録,カフェ会議室,会議費,担当者,担当者,
EXP-2026-1061,ADV-2026-1061,2026-06-18,2026-06-16,2026-06-21,51228,7,6,登録,ファミレス ガスト,会議費,主任,担当者,
EXP-2026-1062,ADV-2026-1062,2026-06-19,2026-06-17,2026-06-22,15017,2,1,登録,喫茶室ルノアール,会議費,係長,担当者,
EXP-2026-1063,ADV-2026-1063,2026-06-20,2026-06-18,2026-06-23,23097,3,2,登録,ホテルラウンジ,会議費,課長,担当者,
EXP-2026-1064,ADV-2026-1064,2026-06-21,2026-06-19,2026-06-24,31557,4,3,登録,定食屋 大戸屋,会議費,部長,担当者,
EXP-2026-1065,ADV-2026-1065,2026-06-22,2026-06-20,2026-06-25,40398,5,2,登録,中華料理 福しん,会議費,担当者,担当者,
EXP-2026-1066,ADV-2026-1066,2026-06-23,2026-06-21,2026-06-26,49619,6,2,登録,ドトール,会議費,主任,担当者,
EXP-2026-1067,ADV-2026-1067,2026-06-24,2026-06-22,2026-06-27,59221,7,6,登録,サイゼリヤ,会議費,係長,担当者,
EXP-2026-0412,ADV-2026-0412,2026-06-25,2026-06-26,2026-07-05,49500,4,2,未登録,割烹 みつ田,会議費,本部長,担当者,多忙のため申請が漏れた
EXP-2026-1068,ADV-2026-1068,2026-06-01,2026-06-01,2026-06-04,17301,2,1,登録,そば処 やぶ,会議費,課長,担当者,
EXP-2026-1069,ADV-2026-1069,2026-06-02,2026-06-01,2026-06-05,26522,3,2,登録,焼肉ライク,会議費,部長,担当者,
EXP-2026-1070,ADV-2026-1070,2026-06-03,2026-06-01,2026-06-06,36124,4,3,登録,ベローチェ,会議費,担当者,担当者,
EXP-2026-1071,ADV-2026-1071,2026-06-04,2026-06-02,2026-06-07,30250,11,0,登録,社内懇親会 宴会場,福利厚生費,主任,,
EXP-2026-1072,ADV-2026-1072,2026-06-05,2026-06-03,2026-06-08,56470,6,3,登録,タリーズ会議室,会議費,係長,担当者,
EXP-2026-1073,ADV-2026-1073,2026-06-06,2026-06-04,2026-06-09,67213,7,6,登録,びっくりドンキー,会議費,課長,担当者,
EXP-2026-1074,ADV-2026-1074,2026-06-07,2026-06-05,2026-06-10,19584,2,1,登録,ロイヤルホスト,会議費,部長,担当者,
EXP-2026-1075,ADV-2026-1075,2026-06-08,2026-06-06,2026-06-11,29948,3,2,登録,ココス,会議費,担当者,担当者,
EXP-2026-1076,ADV-2026-1076,2026-06-09,2026-06-07,2026-06-12,40691,4,3,登録,大衆食堂 まる,会議費,主任,担当者,
EXP-2026-1077,ADV-2026-1077,2026-06-10,2026-06-08,2026-06-13,33116,5,2,登録,ラーメン日高,会議費,係長,担当者,
EXP-2026-1078,ADV-2026-1078,2026-06-11,2026-06-09,2026-06-14,40880,6,4,登録,カレーハウス,会議費,課長,担当者,
EXP-2026-1079,ADV-2026-1079,2026-06-12,2026-06-10,2026-06-15,49026,7,6,登録,うどん さぬき,会議費,部長,担当者,
EXP-2026-1080,ADV-2026-1080,2026-06-13,2026-06-11,2026-06-16,14388,2,1,登録,カフェ会議室,会議費,担当者,担当者,
EXP-2026-1081,ADV-2026-1081,2026-06-14,2026-06-12,2026-06-17,22153,3,2,登録,ファミレス ガスト,会議費,主任,担当者,
EXP-2026-1082,ADV-2026-1082,2026-06-15,2026-06-13,2026-06-18,30298,4,3,登録,喫茶室ルノアール,会議費,係長,担当者,
EXP-2026-1083,ADV-2026-1083,2026-06-16,2026-06-14,2026-06-19,38824,5,4,登録,ホテルラウンジ,会議費,課長,担当者,
EXP-2026-1084,ADV-2026-1084,2026-06-17,2026-06-15,2026-06-20,47731,6,5,登録,定食屋 大戸屋,会議費,部長,担当者,
EXP-2026-1085,ADV-2026-1085,2026-06-18,2026-06-16,2026-06-21,57019,7,6,登録,中華料理 福しん,会議費,担当者,担当者,
EXP-2026-1086,ADV-2026-1086,2026-06-19,2026-06-17,2026-06-22,16672,2,1,登録,ドトール,会議費,主任,担当者,
EXP-2026-1087,ADV-2026-1087,2026-06-20,2026-06-18,2026-06-23,25578,3,2,登録,サイゼリヤ,会議費,係長,担当者,
EXP-2026-1088,ADV-2026-1088,2026-06-21,2026-06-19,2026-06-24,34866,4,3,登録,そば処 やぶ,会議費,課長,担当者,
EXP-2026-0413,ADV-2026-0413,2026-06-12,2026-06-09,2026-06-15,88000,4,2,登録,鉄板焼 銀座うかい亭,会議費,専務,担当者,
EXP-2026-1089,ADV-2026-1089,2026-06-22,2026-06-20,2026-06-25,44534,5,2,登録,焼肉ライク,会議費,部長,担当者,
EXP-2026-1090,ADV-2026-1090,2026-06-23,2026-06-21,2026-06-26,38500,14,0,登録,社内懇親会 宴会場,福利厚生費,担当者,,